"id","parent_id/id","code","name"
"sni_1086","","1086","Tillverkning av homogeniserade livsmedelspreparat inklusive dietmat"
"sni_1089","","1089","Framställning av andra livsmedel"
"sni_1091","","1091","Framställning av beredda fodermedel"
"sni_1092","","1092","Framställning av mat till sällskapsdjur"
"sni_1101","","1101","Destillering, rening och tillblandning av spritdrycker"
"sni_1102","","1102","Framställning av vin från druvor"
"sni_1103","","1103","Framställning av cider och andra fruktviner"
"sni_1104","","1104","Framställning av andra icke-destillerade jästa drycker"
"sni_1105","","1105","Framställning av öl"
"sni_1106","","1106","Framställning av malt"
"sni_1107","","1107","Framställning av läskedrycker, mineralvatten och annat vatten på flaska"
"sni_1200","","1200","Tobaksvarutillverkning"
"sni_1310","","1310","Garntillverkning"
"sni_1320","","1320","Vävnadstillverkning"
"sni_1330","","1330","Blekning, färgning och annan textilberedning"
"sni_1391","","1391","Tillverkning av trikåväv"
"sni_1392","","1392","Tillverkning av sydda textilvaror utom beklädnadsvaror"
"sni_1393","","1393","Tillverkning av mattor"
"sni_1394","","1394","Tågvirkes- och bindgarnstillverkning"
"sni_1395","","1395","Tillverkning av bondad duk"
"sni_1396","","1396","Tillverkning av andra tekniska textilier och industritextilier"
"sni_1399","","1399","Övrig textilietillverkning"
"sni_1411","","1411","Tillverkning av läder- och skinnkläder"
"sni_1412","","1412","Tillverkning av arbets-, skydds- och överdragskläder"
"sni_1413","","1413","Tillverkning av andra gång- och ytterkläder"
"sni_1414","","1414","Tillverkning av underkläder, skjortor och blusar"
"sni_1419","","1419","Tillverkning av andra beklädnadsvaror och tillbehör"
"sni_1420","","1420","Tillverkning av pälsvaror"
"sni_1431","","1431","Tillverkning av strumpor"
"sni_1439","","1439","Tillverkning av andra trikåvaror"
