id,parent_id/id,code,name
sun_540x,sun_540,540x,Annan bred utbildning i material och tillverkning
sun_541a,sun_541,541a,Civilingenjörsutbildning, livsmedel
sun_541b,sun_541,541b,Ingenjörsutbildning, livsmedel
sun_541c,sun_541,541c,Tillverkning och hantering av livsmedel, allmän utbildning
sun_541d,sun_541,541d,Kött och charkuteri
sun_541e,sun_541,541e,Bageri och konditori
sun_541x,sun_541,541x,Annan utbildning i tillverkning och hantering av livsmedel
sun_542a,sun_542,542a,Civilingenjörsutbildning, textilteknologi
sun_542b,sun_542,542b,Ingenjörsutbildning, textilteknologi
sun_542c,sun_542,542c,Tillverkning av textilier och konfektion
sun_542d,sun_542,542d,Sko- och läderarbete
sun_542x,sun_542,542x,Annan utbildning inom textilier, konfektion och läder
sun_543a,sun_543,543a,Civilingenjörsutbildning, trä, papper, glas, porslin och plast 
sun_543b,sun_543,543b,Ingenjörsutbildning, trä, papper, glas, porslin och plast 
sun_543c,sun_543,543c,Trätekniskt arbete
sun_543d,sun_543,543d,Pappersmassa- och papperstillverkning
sun_543e,sun_543,543e,Glas- och porslinstillverkning
sun_543f,sun_543,543f,Tillverkning av plast- och gummiprodukter
sun_543x,sun_543,543x,Annan utbildning i tillverkning i specifikt material
sun_544a,sun_544,544a,Civilingenjörsutbildning, berg- och mineralteknik
sun_544b,sun_544,544b,Ingenjörsutbildning, berg- och mineralteknik
sun_544c,sun_544,544c,Gruv- och järnbruksarbete
sun_544x,sun_544,544x,Annan utbildning inom berg- och mineralteknik
sun_549z,sun_549,549z,Material och tillverkning, övrig och ospecificerad utbildning
sun_580a,sun_580,580a,Civilingenjörsutbildning, bred inriktning mot byggande
sun_580b,sun_580,580b,Ingenjörsutbildning, bred inriktning mot byggande
sun_580x,sun_580,580x,Annan bred utbildning inom samhällsbyggnad och byggnadsteknik
sun_581a,sun_581,581a,Civilingenjörsutbildning, samhällsbyggnad och samhällsmiljö
sun_581b,sun_581,581b,Ingenjörsutbildning, samhällsbyggnad och samhällsmiljö
sun_581c,sun_581,581c,Arkitektutbildning
sun_581d,sun_581,581d,Landskapsarkitektutbildning
sun_581e,sun_581,581e,Landskapsingenjörsutbildning
sun_581x,sun_581,581x,Annan utbildning inom samhällsbyggnad och arkitektur
sun_582a,sun_582,582a,Civilingenjörsutbildning, byggnadsteknik
sun_582b,sun_582,582b,Ingenjörsutbildning, byggnadsteknik
sun_582c,sun_582,582c,Byggnadsarbete, allmän utbildning
sun_582d,sun_582,582d,Byggnadssnickeri
sun_582e,sun_582,582e,Måleri
sun_582f,sun_582,582f,VVS-utbildning
sun_582g,sun_582,582g,Betong-, anläggnings- och vägarbete
sun_582h,sun_582,582h,Murarutbildning
sun_582i,sun_582,582i,Plåtslageri
sun_582x,sun_582,582x,Annan utbildning inom byggnads- och anläggningsteknik
sun_589z,sun_589,589z,Samhällsbyggnad och byggnadsteknik, övrig och ospecificerad utbildning
sun_620z,sun_620,620z,Lantbruk, trädgård, skog och fiske, allmän utbildning
sun_621a,sun_621,621a,Agronomutbildning
sun_621b,sun_621,621b,Lantmästarutbildning
sun_621c,sun_621,621c,Utbildning i lantbruk
sun_621d,sun_621,621d,Utbildning i jordbruk
sun_621e,sun_621,621e,Utbildning i djurhållning
